Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
Caps-008-VISO-UNIT,គំរបវីតាល់ស្តង់ដា,4,គំរប,,,5,,,,,,,,,,,,,,,
DT13-450-B-D,ដបលេខកូដ​ DT ទំងន់ 13 ក្រាម​ ចំណុះ 450 ml ពណ៌ខៀវ(B)(ខូច),4,គីឡូ,,,5,,,,,,,,,,,,,,,
KY-EV0-002-D,Khmer Yoeung(KY)(ទឹកស៊ីអ៊ីវ​ ខ្មែរយើង),4,គីឡូ,,,5,,,,,,,,,,,,,,,
TAT14.5-W,ឡតលេខកូដ TAT ទំងន់14.5​ ក្រាមពណ៌ស(W)(25kg),4,បាវ,,,5,,,,,,,,,,,,,,,
Caps-003-W-small,គំរបសក្រញាំឬសធម្មតា(200),4,ថង់តូច,,,5,,,,,,,,,,,,,,,
DT12.5-435-W-G,ដបលេខកូដ​ DT ទំងន់ 12.5 ក្រាម​ ចំណុះ 435 ml ពណ៌ស(W).,4,ដប,,,5,,,,,,,,,,,,,,,
TAT-DNT14.5-350-W,ដបលេខកូដ​ TATឈ្មោះដបDanatech(DNT) ទំងន់ 14.5 ក្រាម​ ចំណុះ 350 ml ពណ៌ស(W)(200),4,ថង់,,,5,,,,,,,,,,,,,,,
TN17-500-V,ដបលេខកូដ​ TN ទំងន់ 17 ក្រាម​ ចំណុះ 500 ml ពណ៌វីតាល់(V)(200),4,1,,,5,,,,,,,,,,,,,,,
BAGE-002,កាដុងមាត់ធំ 20L,4,កាដុង,,,5,,,,,,,,,,,,,,,
Caps-014BL-big,គំរបទឹកប៊ិចសំរាប់គ្របដបទឹកក្រូច(1000),4,ថង់ធំ,,,5,,,,,,,,,,,,,,,
LO-004,ថង់អ៊ុតឡូ(15.5x16)(30kg),4,បាវ,,,5,,,,,,,,,,,,,,,
YT-EV0-006-G,Yellow Tail(YT)(ទឹកត្រីរូបត្រីកាម៉ុង),4,ដប,,,5,,,,,,,,,,,,,,,
Caps-009-OISO,គំរបទឹកក្រូចស្តង់ដា(10000),4,បាវ,,,5,,,,,,,,,,,,,,,
DT13-450-B-G,ដបលេខកូដ​ DT ទំងន់ 13 ក្រាម​ ចំណុះ 450 ml ពណ៌ខៀវ(B).,4,ដប,,,5,,,,,,,,,,,,,,,
KY-EV0-002-G,Khmer Yoeung(KY)(ទឹកស៊ីអ៊ីវ​ ខ្មែរយើង),4,ដប,,,5,,,,,,,,,,,,,,,
TAT14.5-W-KG,ឡតលេខកូដ TAT ទំងន់14.5​ ក្រាមពណ៌ស(W).,4,គីឡូ,,,5,,,,,,,,,,,,,,,
Caps-003-W-UNIT,គំរបសក្រញាំឬសធម្មតា,4,គំរប,,,5,,,,,,,,,,,,,,,
DT12.5-450-W,ដបលេខកូដ​ DT ទំងន់ 12.5 ក្រាម​ ចំណុះ 450 ml ពណ៌ស(W)(200),4,ថង់,,,5,,,,,,,,,,,,,,,
TAT-DNT14.5-350-W-D,ដបលេខកូដ​ TATឈ្មោះដបDanatech(DNT) ទំងន់ 14.5 ក្រាម​ ចំណុះ 350 ml ពណ៌ស(W)(ខូច),4,គីឡូ,,,5,,,,,,,,,,,,,,,
TN17-500-V-D,ដបលេខកូដ​ TN ទំងន់ 17 ក្រាម​ ចំណុះ 500 ml ពណ៌វីតាល់(V)(ខូច),4,2,,,5,,,,,,,,,,,,,,,
BS-EV0-005,Blue Swimmer(BS)(ទឹកត្រីរូបក្តាមសេះ)(12),4,កេះ,,,5,,,,,,,,,,,,,,,
Caps-014BL-small,គំរបទឹកប៊ិចសំរាប់គ្របដបទឹកក្រូច(200),4,ថង់តូច,,,5,,,,,,,,,,,,,,,
LO-004-KG,ថង់អ៊ុតឡូ(15.5x16),4,គីឡូ,,,5,,,,,,,,,,,,,,,
MT15-W,ឡតទឹកក្រូូចលេខកូដ MT ទំងន់15​ ក្រាមពណ៌ស(W)(25kg),4,បាវ,,,5,,,,,,,,,,,,,,,
LMS-15-350-V,ដបលេខកូដ​ LMSឈ្មោះ ទំងន់ 15 ក្រាម​ ចំណុះ 350 ml ពណ៌វីតាល់(V)(200),4,ថង់,,,5,,,,,,,,,,,,,,,
TM17.5-W-KG,ឡតលេខកូដ TM ទំងន់17.5​ ក្រាមពណ៌ស(W).,4,KG,,,5,,,,,,,,,,,,,,,
Caps-009-OISO-big,គំរបទឹកក្រូចស្តង់ដា(1000),4,ថង់ធំ,,,5,,,,,,,,,,,,,,,
DT13-450-W,ដបលេខកូដ​ DT ទំងន់ 13 ក្រាម​ ចំណុះ 450 ml ពណ៌ស(W)(200),4,ថង់,,,5,,,,,,,,,,,,,,,
Caps-004-V,គំរបវីតាល់ធម្មតា(10000),4,បាវ,,,5,,,,,,,,,,,,,,,
DT12.5-450-W-D,ដបលេខកូដ​ DT ទំងន់ 12.5 ក្រាម​ ចំណុះ 450 ml ពណ៌ស(W)(ខូច),4,គីឡូ,,,5,,,,,,,,,,,,,,,
TAT-DNT14.5-350-W-G,ដបលេខកូដ​ TATឈ្មោះដបDanatech(DNT) ទំងន់ 14.5 ក្រាម​ ចំណុះ 350 ml ពណ៌ស(W).,4,ដប,,,5,,,,,,,,,,,,,,,
Caps-20L,គំរបធុង ២០លីត្រ,4,3,,,5,,,,,,,,,,,,,,,
BS-EV0-005-D,Blue Swimmer(BS)(ទឹកត្រីរូបក្តាមសេះ),4,គីឡូ,,,5,,,,,,,,,,,,,,,
Caps-014BL-UNIT,គំរបទឹកប៊ិចសំរាប់គ្របដបទឹកក្រូច,4,គំរប,,,5,,,,,,,,,,,,,,,
MA-EV0-004,Match All(MA)(ទឹកស៊ីអ៊ីវ​ ម៉ាច់អល)(12),4,កេះ,,,5,,,,,,,,,,,,,,,
MT22-W,ឡតទឹកក្រូូចលេខកូដ MT ទំងន់22​ ក្រាមពណ៌ស(W)(25kg),4,បាវ,,,5,,,,,,,,,,,,,,,
LMS-15-350-V-D,ដបលេខកូដ​ LMSឈ្មោះ ទំងន់ 15 ក្រាម​ ចំណុះ 350 ml ពណ៌វីតាល់(V)(ខូច),4,គីឡូ,,,5,,,,,,,,,,,,,,,
TN13.5-V,ឡតលេខកូដ TN ទំងន់13.5​ ក្រាមពណ៌វីតា(V)(25kg),4,បាវ,,,5,,,,,,,,,,,,,,,
Caps-009-OISO-small,គំរបទឹកក្រូចស្តង់ដា(200),4,ថង់តូច,,,5,,,,,,,,,,,,,,,
DT13-450-W-D,ដបលេខកូដ​ DT ទំងន់ 13 ក្រាម​ ចំណុះ 450 ml ពណ៌ស(W)(ខូច),4,គីឡូ,,,5,,,,,,,,,,,,,,,
Caps-004-V-big,គំរបវីតាល់ធម្មតា(1000),4,ថង់ធំ,,,5,,,,,,,,,,,,,,,
DT12.5-450-W-G,ដបលេខកូដ​ DT ទំងន់ 12.5 ក្រាម​ ចំណុះ 450 ml ពណ៌ស(W).,4,ដប,,,5,,,,,,,,,,,,,,,
